City,Road,Cycle,Ratio,Total,Cycleway,NoVehicle1,NoVehicle2,Designated,Lane,LeftLane,RightLane
London,30643729.334001,2160681.161,0.07050973259323885,30643729.334001,1192996.207,205263.807,27462.567,79350.843,141808.095,314979.163,198820.479
Cambridge,1032127.396,163851.33899999998,0.15875108018157866,1032127.396,110652.798,5014.839,586.724,2835.541,17709.99,14153.987,12897.46
Leicester,1611755.843,166806.056,0.10349337756363884,1611755.843,92370.238,6581.617,0,36323.089,18367.399,8210.439,4953.274
Liverpool,2533654.644,93927.09000000001,0.03707178096368844,2533654.644,56207.19,3157.202,0,545.009,21552.055,10197.28,2268.354
Cardiff,2523952.091,158352.76700000002,0.06274000507563518,2523952.091,101460.356,9495.986,0,18842.802,18117.141,8312.92,2123.562
Birmingham,5168788.5079999,334669.708,0.06474819147311231,5168788.5079999,223330.55,9977.924,1736.372,36533.252,17020.782,39428.767,6642.061
ParisMetropolitan,18940045.732,2306413.0590000004,0.12177441869125051,18940045.732,688643.222,351871.443,3984.229,159559.375,258327.324,405226.523,438800.943
Berlin,19129901.382,2182590.3559999997,0.11409313160671472,19129901.382,114490.525,170851.658,9781.458,456611.972,383675.27,72678.9,974500.573
Copenhagen,1994629.929,421910.36899999995,0.21152313161746403,1994629.929,104575.934,10443.032,5913.187,32594.854,145755.443,15840.473,106787.446
Amsterdam,4267540.732,849269.796,0.19900684008280956,4267540.732,725068.354,37675.796,12896.862,8201.553,35823.046,4525.204,25078.981
Rotterdam,3524025.816,610526.63,0.1732469232285556,3524025.816,530958.497,9314.686,4137.476,1231.927,39066.243,4498.676,21319.125
The Hague,2885360.605,515242.398,0.17857123200030658,2885360.605,437427.638,16932.369,237.109,689.422,43760.76,3428.061,12767.039
Utrecht,2526948.881,429159.858,0.16983321713661528,2526948.881,351685.878,12409.842,9263.712,15478.796,30924.424,3746.189,5651.017
Eindhoven,2377012.554,409872.754,0.17243188443000543,2377012.554,357163.945,19349.204,8.095,2917.682,22992.579,695.749,6745.5
Groningen,1703741.276,321001.499,0.18840976826812522,1703741.276,259530.377,13428.299,5489.467,9265.938,22813.437,1728.523,8745.458
Vienna,8995576.339,1077087.0159999998,0.11973518709749897,8995576.339,503971.279,120700.304,62492.972,81044.853,211981.037,32993.774,63902.797
Brussels,4164988.794,496127.08499999996,0.11911846814923266,4164988.794,182132.395,29965.909,3102.839,20377.846,65875.682,40856.354,153816.06
Madrid,11432277.87,560688.414,0.049044330480396206,11432277.87,301502.359,72528.416,3283.319,25440.763,67999.543,7189.565,82744.449
Rome,12519428.017,357867.35199999996,0.02858496023253264,12519428.017,151407.875,54317.773,7903.089,47877.695,9786.76,5136.469,81437.691
Stockholm,5646298.247,1080204.32,0.19131194859816975,5646298.247,930308.974,25400.047,477.36,33283.442,32898.192,6495.23,51341.075
Helsinki,7399829.3130001,1399764.2900000003,0.18916169965446086,7399829.3130001,1310498.459,41135.681,3604.187,10402.692,7458.644,729.016,25935.611
Warsaw,13627499.075,937410.764,0.06878817300525115,13627499.075,546452.114,67774.255,12675.218,117237.2,21135.377,15368.435,156768.165
Newcastle,1914163.605,120656.66,0.06303361932325528,1914163.605,75420.649,11799.232,485.607,6023.419,12336.599,12421.568,2169.586
Manchester,2702509.935,185177.06,0.06852039935238943,2702509.935,114431.395,12563.612,836.919,4249.579,32499.636,14480.886,6115.033
Glasgow,3828580.632,206106.263,0.053833596000910866,3828580.632,143079.445,10662.756,90.453,2219.722,31277.326,17474.227,1302.334
Bristol,2488139.548,167922.47400000005,0.06748917042654556,2488139.548,102219.686,6887.494,153.399,32208.169,10399.504,12530.155,3524.067
Oxford,1009251.314,153909.29299999998,0.15249848166162505,1009251.314,65443.217,8726.476,192.108,823.814,15649.19,33958.229,29116.259
Edinburgh,3828000.363,272509.25,0.07118840756494463,3828000.363,139336.36,24173.764,96.886,53422.19,41905.509,10799.841,2774.7
Leeds,7422274.908,393598.199,0.05302932104761648,7422274.908,235721.774,37391.263,3249.14,58373.048,33961.323,20245.227,4656.424
Dublin,3035494.573,175731.315,0.057892152587946666,3035494.573,57231.578,6146.363,91.908,1299.439,60950.552,42666.524,7344.951
Zurich,2939997.576,467437.774,0.15899257122380703,2939997.576,14164.095,182581.187,79130.888,51635.306,50195.094,25768.48,63962.724
Netherlands,287098769.181,47832667.38599999,0.1666070095753149,287098769.181,35652156.209,5375791.686,1489693.058,879930.629,3913423.205,94151.836,427520.763
